 Created on  1Dec2019 at 16:53:37 
    0.865813   -0.046177    0.498232
    0.919890   -0.322796   -0.222724
    0.840851    0.346407   -0.415899
   -0.153813    0.941386    0.300222
    0.941251    0.150948    0.302096
    0.138850    0.809255   -0.570812
    0.243935    0.433106    0.867707
   -0.268464    0.767348    0.582327
    0.646944    0.211729    0.732553
    0.515222    0.711844    0.477310
    0.434372    0.864961    0.251323
    0.856153    0.483322   -0.182763
    0.580262    0.447495   -0.680473
    0.546529   -0.836952   -0.028579
    0.318437   -0.776929    0.543119
   -0.648917   -0.736026   -0.192804
    0.584772    0.069973   -0.808174
    0.979381    0.188276    0.073244
    0.900350    0.320453   -0.294414
   -0.078159    0.996491   -0.029948
    0.810093    0.200763   -0.550858
   -0.376052    0.252814   -0.891442
    0.633544    0.434259   -0.640345
    0.408905   -0.513902    0.754123
    0.551069   -0.424253   -0.718562
   -0.857233    0.511316   -0.060893
    0.032339    0.888845   -0.457066
    0.791627   -0.282108   -0.541980
   53.947368
    0.630182   -0.578079    0.518358
    0.515183   -0.821160   -0.245525
   -0.580865   -0.268685   -0.768378
   -0.993327   -0.094548   -0.066046
   -0.815623   -0.417062   -0.401022
   -0.656100   -0.704798   -0.269800
   -0.222112   -0.759961   -0.610840
   -0.841521    0.473919    0.259314
   -0.722649   -0.551821    0.416259
   -0.029349   -0.465315    0.884658
   -0.457706    0.840070   -0.291182
   -0.375605   -0.260399    0.889445
   -0.428642    0.808465    0.403299
    0.580884   -0.596773    0.553566
   -0.399040   -0.486811   -0.777034
   -0.961993    0.189927    0.196205
   -0.971965    0.222355   -0.076439
    0.007506   -0.363226   -0.931671
    0.770191   -0.600812   -0.214082
   -0.417025   -0.822151   -0.387502
   -0.380575   -0.772524   -0.508301
   -0.413280   -0.540727   -0.732676
    0.165452   -0.883919    0.437392
   -0.494859   -0.868830    0.015784
    0.685260   -0.534313   -0.494903
   -0.906449   -0.184103    0.380074
    0.392996   -0.862829   -0.317931
   -0.173135   -0.976270    0.130085
   -0.196694   -0.442020    0.875174
   -0.644536   -0.612765    0.457266
   -0.250463   -0.762968    0.595944
    0.544049    0.830276    0.121051
   -0.716780   -0.327994    0.615343
   -0.128871   -0.580223   -0.804198
   -0.102006   -0.978933   -0.176875
   -0.001654   -0.875904   -0.482482
   -0.797903    0.035879    0.601717
    0.540032   -0.160176   -0.826262
    0.931043   -0.201415    0.304286
    0.578360   -0.654325   -0.487195
   -0.649557   -0.756925    0.071696
   -0.796769   -0.439188   -0.415058
    0.576826    0.293289    0.762400
    0.131643   -0.275013   -0.952385
   -0.777119    0.587714    0.225120
   -0.825587   -0.492909    0.274676
    0.259153   -0.696834    0.668776
   -0.740091   -0.445578    0.503711
   -0.636454   -0.636900    0.435069
    0.103431   -0.891095    0.441872
   -0.519780   -0.777889   -0.353154
   -0.990448    0.095573   -0.099394
   -0.779237   -0.491500    0.388867
   -0.308549   -0.814294   -0.491653
   -0.300508   -0.558939   -0.772840
   -0.955435    0.202202   -0.215077
   -0.034166   -0.248318   -0.968076
   -0.702717   -0.695322   -0.150721
    0.182676   -0.971373   -0.151867
   -0.847276   -0.523177    0.091705
   -0.078858    0.698537    0.711215
   -0.063858   -0.835902    0.545152
    0.324933   -0.867914   -0.375690
   -0.956947    0.217300    0.192439
   56.578947
   -0.358069   -0.527883    0.770147
    0.615213    0.786788   -0.049781
    0.948494    0.234136   -0.213401
   -0.199958   -0.825311   -0.528090
   -0.284409   -0.956818    0.060088
    0.807492   -0.031903   -0.589015
    0.062959    0.847814   -0.526542
   -0.630885   -0.705336    0.323241
   -0.902927    0.371105    0.216805
